originator,C,OML.mlm,GML.mlm,Competitive Suppression.mlm,Direct Suppression.mlm,Generalized Competitive Suppression.mlm,Generalized Direct Suppression.mlm,ROE Competitive Suppression.mlm,ROE Direct Suppression.mlm
Competitive Suppression,0,-219.600280032793,-251.484130028341,-177.842883410474,-246.430589535825,-227.715038688211,-266.244085342075,-174.242591128859,-278.072181300522
Competitive Suppression,0,-237.255235152609,-289.975497959124,-201.048101565088,-257.29807938708,-291.463938073956,-294.471832832596,-212.375500893064,-236.679678114352
Competitive Suppression,0,-215.16521134851,-218.48064608473,-184.718371564555,-240.741414479584,-233.803642338109,-240.774915256643,-208.585760602512,-267.641920499671
Competitive Suppression,0,-206.512211188601,-275.583781367426,-163.111101071801,-232.070134435869,-225.579846053458,-282.25149574669,-181.500404546483,-236.82444635174
Competitive Suppression,0,-223.892509371251,-326.295708518167,-171.464878747401,-259.860231405606,-262.835450190799,-344.479088733145,-200.176478700297,-364.347359771596
Competitive Suppression,0,-204.50887515027,-230.376847241614,-157.642618104681,-230.325834698155,-229.549432113664,-265.294799489456,-167.901855400935,-264.507544783905
Competitive Suppression,0,-219.45829947302,-259.99192543381,-186.483762018545,-230.716042446377,-233.404048459453,-285.428005161717,-197.229275697681,-233.876425352252
Competitive Suppression,0,-194.671760978895,-320.558652134522,-161.287311064818,-222.205580549218,-204.857282398881,-249.775585496043,-166.2789309111,-207.289381330246
Competitive Suppression,0,-222.989574771122,-271.949766023149,-186.36213620026,-254.375711407834,-238.527669791113,-293.812253534664,-229.770208868133,-266.06587117642
Competitive Suppression,0,-207.312866272096,-232.319099372448,-175.777540940078,-231.200825758326,-215.47625706283,-250.466064948508,-189.360634721555,-212.167507268452
Competitive Suppression,0,-217.784425321478,-261.869827092871,-167.373548988148,-236.02988901384,-277.176362715832,-267.202639961794,-180.131952405011,-227.498753275142
Competitive Suppression,0,-221.053149036307,-246.90248941223,-179.082628680781,-243.397273062286,-251.516972159867,-264.783756722564,-207.086779930186,-255.379095840462
Competitive Suppression,0,-216.496981755575,-242.847478821818,-172.005839087417,-243.351804847934,-274.263473037908,-276.571704445115,-171.969515725062,-242.155357375396
Competitive Suppression,0,-208.82920985934,-225.265921434225,-190.419061652978,-227.334538384698,-213.666384503443,-236.551480142177,-208.449109032498,-252.506378163412
Competitive Suppression,0,-217.986284371344,-283.768075469599,-169.630234899225,-234.189176219197,-282.20998756351,-286.34949226044,-183.383361769564,-239.529605765652
Competitive Suppression,0,-201.964057128804,-243.156338287175,-163.906793582405,-241.925250895398,-204.958041605961,-296.379770111979,-194.429005240386,-217.726070939469
Competitive Suppression,0,-213.815271172074,-246.591064350305,-191.370164803674,-231.748312596227,-222.06372998664,-242.599806443231,-202.09219748279,-298.568723050661
Competitive Suppression,0,-204.794990752316,-245.168729769764,-172.30472900743,-224.43530669835,-211.739625870026,-250.013629721937,-179.548735784318,-205.451898257698
Competitive Suppression,0,-214.136531796527,-227.687191223381,-164.311003924325,-231.868540525127,-207.446261049667,-240.088412520863,-183.294886752841,-222.322757529413
Competitive Suppression,0,-212.71371773736,-239.144243921605,-174.619709558058,-229.522694386731,-218.725809226353,-270.33697675228,-196.973469320003,-219.47641321742
Competitive Suppression,0,-211.112931998753,-274.62146048261,-173.530373156593,-235.598234911853,-333.710225141945,-291.35805435772,-187.768432433093,-268.942738420749
Competitive Suppression,0,-198.177164540077,-223.266172174352,-162.508790042376,-217.620768327194,-221.836134164224,-233.755073914509,-175.337166530356,-224.944522667684
Competitive Suppression,0,-208.139893589127,-246.541553312835,-173.078759954949,-229.716773323623,-238.666018597985,-248.156576932084,-184.158879705355,-231.075839867135
Competitive Suppression,0,-206.607210747443,-251.398519936446,-166.514290507755,-230.339618917991,-236.820696644602,-263.920199638851,-185.1851809786,-224.89072954894
Competitive Suppression,0,-199.668053919482,-249.365023907959,-188.303292118973,-228.072237359595,-296.145125391204,-263.629257757013,-209.755748946009,-321.496718878944
Competitive Suppression,0,-211.101525983683,-226.102806884385,-194.842297320732,-252.48751313349,-247.36493609829,-306.347184362454,-219.566871210775,-414.545476073571
Competitive Suppression,0,-240.686328896263,-263.190941188152,-192.615832842621,-258.926452173192,-212.250221598466,-253.576627063283,-220.979809565291,-262.820288123601
Competitive Suppression,0,-186.609849412872,-226.102180301719,-159.019883759095,-213.19406930466,-209.126740089816,-246.903728800692,-176.898465323001,-217.456776660945
Competitive Suppression,0,-208.571864556229,-302.938787444121,-164.93777899043,-230.168842143106,-254.148885836471,-337.526379615783,-217.498908001405,-272.753962935235
Competitive Suppression,0,-224.89144249933,-235.996005491169,-176.797070257865,-246.600704614891,-236.430536954072,-251.012539350118,-197.53009163734,-232.019171429017
Competitive Suppression,0,-220.288883204333,-249.350246565148,-169.47248542104,-243.993314510421,-221.702002214487,-256.650597066791,-190.536679247716,-255.343239121245
Competitive Suppression,0,-212.565259290837,-244.759338533634,-174.373650112958,-231.35457498264,-240.268342179882,-266.445240221547,-207.812588397322,-291.796488962864
Competitive Suppression,0,-213.769031085357,-268.875945690543,-176.32764268324,-231.121334522773,-223.68435802377,-275.262457420055,-189.911718630363,-255.73660499547
Competitive Suppression,0,-204.402465755451,-253.46848197217,-170.342601781439,-231.800499875176,-243.977984377116,-262.421772756894,-192.310946479058,-251.458004967005
Competitive Suppression,0,-202.747188265697,-260.512631213705,-174.747600584843,-229.177315404064,-216.980786735476,-277.946250809666,-185.277625998353,-291.590798177084
Competitive Suppression,0,-198.958875736936,-218.231803319762,-175.166124799635,-222.421978944974,-243.726338398944,-227.740892797087,-193.104393598828,-249.494604396838
Competitive Suppression,0,-210.995036321342,-253.480444542167,-178.757225500503,-236.913950663332,-217.906315910281,-276.24530934311,-194.520592429293,-215.583490272107
Competitive Suppression,0,-219.26849069951,-268.020844556791,-183.907962839443,-239.510407905357,-274.615613052343,-265.256886750175,-193.994271061523,-283.602663345741
Competitive Suppression,0,-223.838380778338,-239.742188863453,-178.583164984735,-240.770229522928,-201.010587982448,-232.895650487488,-203.302296781976,-244.006149419984
Competitive Suppression,0,-225.752111027948,-264.484271309354,-176.615135182965,-249.18842198713,-229.113651521316,-282.356551853517,-203.159586467662,-237.38687470585
Competitive Suppression,0,-197.095369853195,-232.230931579225,-178.168982531714,-214.913350965473,-216.685922013172,-245.46539758256,-194.301458288827,-246.767403367738
Competitive Suppression,0,-194.891875493046,-231.347412266835,-147.882403519503,-221.790492927049,-200.638184941341,-247.274632648926,-151.842145726636,-397.710868750188
Competitive Suppression,0,-221.741407036601,-252.391408577972,-184.64626926495,-249.455942336786,-244.21755337566,-256.999957224111,-197.931672361276,-307.033452215746
Competitive Suppression,0,-236.641812564477,-375.374895801007,-192.587974543933,-257.217876487045,-228.348949322202,-271.426170871473,-224.245284456075,-285.833611102088
Competitive Suppression,0,-253.657453951573,-273.384607717002,-162.907381425007,-317.845384300605,-211.182348535288,-317.285570901816,-185.563156177925,-281.836529117916
