originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
OML,-157.967226844943,-153.727907852932,-203.90562742658,-158.17358285074,-205.645209069529,-202.010226903485,-171.473486859634,-165.48184456794,-239.680163819298,-204.732385491781,-201.824980847006,-161.35161353362,-159.784280586617,-155.718743997327,-358.051645451371,-157.866944651955
GML,-177.358459378053,-171.778346835698,-170.818281810351,-107.713647283861,-180.959636333053,-175.013075155133,-199.201458233972,-196.345583562605,-171.551171885444,-150.874596609506,-188.335328227181,-130.281456702574,-170.769561988779,-161.08240986514,-279.049393035076,-171.669862185063
Competitive Suppression,-208.851669877178,-206.18379670312,-270.798871920595,-201.21788255395,-181.80756066627,-180.023931045548,-231.299223982366,-228.177269522775,-244.389688158937,-181.512941165126,-286.812564167504,-209.30229832665,-204.114501356825,-183.036623719217,-279.24395090549,-205.868330086445
Direct Suppression,-193.079142981051,-187.474262953772,-250.008396631216,-191.357555492314,-239.808144572235,-231.126635890211,-181.452473794292,-176.100833964414,-274.861789342522,-231.409816204174,-222.216602810881,-181.320422232718,-200.299648267305,-192.07608954885,-433.740721658137,-183.240813083197
Generalized Competitive Suppression,-235.17780380154,-220.287654627118,-204.838632230139,-184.979752345022,-203.310041791334,-189.858632453995,-252.353909805635,-238.173170893644,-209.08388518577,-173.998222757706,-217.442631807538,-191.109484078978,-216.728079875707,-194.133354687273,-240.521948916812,-220.35987041768
Generalized Direct Suppression,-172.734122296905,-163.727044749625,-135.392759064026,-112.209331320366,-191.93385158608,-185.731271757321,-189.3015150085,-183.021331205332,-193.138286762316,-169.119123985801,-120.923334769293,-96.7049003410277,-171.360920169397,-160.879661828037,-307.008618849711,-163.730683281222
ROE Competitive Suppression,-171.601480609304,-164.062486580656,-218.209955734472,-161.602025577307,-168.302681491206,-165.799421452112,-197.694859912672,-189.76811302108,-202.288457182321,-174.231441713886,-231.09776400796,-176.21990495937,-152.225333192505,-143.555782556237,-185.929822808272,-164.128875411999
ROE Direct Suppression,-181.365701861482,-168.413852360663,-218.209804113589,-170.504648403575,-208.192430109584,-206.188714045216,-188.839311194069,-176.589032375835,-247.440749993277,-212.11626455662,-221.084027229363,-175.068058177117,-198.615601874816,-170.122271134007,-258.711115773909,-168.666659372851
OML,-151.924287495724,-142.288184431554,-257.878159795752,-144.728290910653,-207.417045270878,-196.895141038966,-164.662928194731,-158.847682599205,-229.881739637408,-198.690502522744,-221.678161233581,-153.853756686773,-158.955796261196,-143.588658548676,-231.460062294464,-143.158130593527
GML,-176.853431613422,-164.707143595731,-139.370070431281,-112.786541356816,-182.619552133334,-175.305939365366,-196.37920401964,-188.903204012604,-184.506265579031,-159.240344901232,-142.633033928684,-119.43669514937,-172.062215417702,-156.103379583313,-242.551176063498,-165.426091166759
Competitive Suppression,-226.486519435264,-210.325113016047,-310.481411534781,-203.752533584337,-194.853617958941,-170.450627542423,-255.775014300062,-227.658600752727,-288.130921650423,-167.51868069968,-337.869817721193,-210.632693293217,-205.172703082266,-173.707042577346,-230.532258676049,-210.269980568525
Direct Suppression,-202.302990385925,-195.642665250874,-347.232298166709,-198.509813578858,-237.428453973013,-228.386481626352,-189.896899641614,-184.32759738083,-269.009768855188,-226.97641521147,-286.000325203434,-187.311958663622,-206.560942802054,-197.560428205445,-329.461467888478,-186.410499070309
Generalized Competitive Suppression,-208.71505781083,-202.829095692355,-189.60904691884,-170.054123816319,-158.275372897202,-154.453240576973,-229.894158337435,-223.671136832933,-175.793719987661,-144.602907305191,-201.111482280473,-177.28455922923,-155.350964326073,-151.929375831277,-221.627801272171,-203.031763853219
Generalized Direct Suppression,-191.304604885649,-176.034966128785,-166.320179283285,-124.709204892824,-199.253666613107,-186.710404367627,-206.082957761804,-193.822018149232,-203.510159498497,-168.43679040654,-196.49275660527,-128.517205546337,-188.429080567386,-170.885704287393,-218.426569266776,-176.031060972106
ROE Competitive Suppression,-178.584374480336,-160.335013376631,-216.409265403103,-161.218012621966,-185.645239588493,-177.440007250908,-187.459783590963,-181.191890581337,-283.552669152858,-182.812715171065,-242.524005664259,-177.606865862025,-183.203816364529,-152.236381380128,-186.050731833265,-160.25187956965
ROE Direct Suppression,-155.865908495683,-154.282662994281,-192.438909731604,-160.955205267659,-189.057291014341,-186.286299985897,-183.483761617873,-181.293818892511,-217.084475096933,-191.024418432653,-218.337357521314,-180.524450646216,-159.645606460429,-156.763704889388,-192.722999202005,-154.916255298647
OML,-167.993908388402,-164.877387207092,-209.711164572818,-170.339109374908,-217.472841111945,-201.432702639449,-189.624093045576,-181.108918720648,-247.554643285604,-200.978360052766,-220.876661877382,-178.778239677027,-188.84735158905,-168.953910356725,-175.011676971777,-166.677220945196
GML,-172.40789160876,-165.216207010072,-124.186382457168,-105.554353555693,-180.406704908023,-174.695683610164,-204.905416356156,-190.82205336377,-181.316635318355,-156.553711399644,-134.718640531144,-115.659297836179,-159.290007657014,-154.007540167682,-280.383762210146,-165.754185464181
Competitive Suppression,-199.79369202947,-192.233826769457,-259.699232227868,-186.51978246987,-161.356000664402,-153.357225685006,-219.035211514727,-209.969701737988,-194.35372609091,-159.647737309588,-258.798614927981,-189.202680529243,-174.591013181563,-156.534033819786,-213.187163505651,-189.995226590703
Direct Suppression,-198.180859979553,-194.345485102736,-232.927231633858,-190.992409051619,-247.911331271782,-236.800854415356,-177.303571914655,-172.857337739223,-297.729091006781,-237.85572469846,-207.86906648507,-171.37797354845,-216.368971334692,-201.758036418228,-348.409029377389,-188.967989860629
Generalized Competitive Suppression,-207.189856907171,-204.336334422214,-197.719983935665,-169.44945517277,-185.476306823956,-175.943628316318,-226.428648587572,-220.344184239903,-186.403798370553,-155.732779640019,-187.696415432196,-167.794543711915,-189.582922573561,-176.689047999483,-241.455917592203,-204.278796465464
Generalized Direct Suppression,-159.705866456756,-152.217585320799,-124.863909473027,-95.300103445477,-183.298269644998,-178.29300303247,-177.629967959892,-172.573892464213,-197.372847349763,-169.329423080689,-109.427045817755,-83.5613537053201,-156.716771037387,-149.090018938781,-282.107662564009,-151.33055308334
ROE Competitive Suppression,-180.648744621836,-169.494591715602,-233.21764187534,-162.628422228577,-211.133834762769,-172.566156544215,-202.333911073808,-193.039069939123,-249.531100822118,-173.391280779262,-247.067585674622,-175.706327611123,-185.54970500605,-156.690716246705,-388.654369099151,-169.486689349993
ROE Direct Suppression,-172.993933116325,-162.315382048972,-211.663386423436,-165.133750191568,-201.275061684847,-198.703613296777,-189.540761004249,-177.242172606187,-244.307347545102,-204.213103602772,-235.166574516336,-174.736246902147,-174.935238846578,-162.8158291458,-220.406533339419,-162.750024466261
OML,-170.993650810571,-161.764653152341,-227.685851820394,-162.701710315825,-209.010015358209,-201.671167156772,-180.422370049213,-174.016037011562,-241.28914049739,-203.550690943572,-217.408508842268,-170.523983177349,-178.799452514003,-161.671179672604,-240.542431554025,-161.466039284248
